"注：
1. 本体资源创建时，带*红色字段为必填字段；同一对象的多个属性信息前，只需要重复填写“对象英文名称”。
2. 每列名称请勿修改，修改后会导致导入出错。实际使用时，样例数据需删除。",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
对象元数据信息,,,,对象属性信息,,,,,
对象英文名称,对象中文名称,对象描述,状态,属性英文名,属性中文名,属性类型,属性描述,是否主键,是否标题
Business Entity.Market & Sales Domain,业务Entity.Market&销售域,市场和销售领域代表与营销和销售策略、能力交付、生命周期管理和支持相关方（例如个人/组织）相关的角色、信息和活动，这些各方在销售生命周期阶段（例如联系人/潜在客户/潜在客户）了解、询问、选择、谈判、订购并获得企业提供的商品和服务（即产品）的支持。在销售方面，这包括销售线索/机会直至销售人员和销售统计数据。市场包括市场战略和计划、细分市场、竞争对手及其产品，直至活动制定和报告。,启用,,,,,,
Market & Sales Domain.Market Sales Party Roles ABE,市场&销售Domain.Market销售参与方RolesABE,市场销售方角色 ABE 包含与市场销售域相关的所有 PartyRoles，例如 MarketingManager、SalesAgent...,启用,,,,,,
MarketingCampaignRole,营销活动角色,MarketingCampaignRole 是一种参与OperationalMarketingCampaigns 和/或MarketingCampaigns（例如MarketingManager 和MarketingOperator）的PartyRole 类型。,启用,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
MarketingCampaignRole,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
MarketingCampaignRole,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
MarketingCampaignRole,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
MarketingCampaignRole,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
MarketingDesigner,营销设计师,营销活动设计师负责活动的设置。他生成目标列表并生成活动后续报告。他负责在活动执行过程中实时监控活动管理绩效，并在必要时提出纠正措施。,启用,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
MarketingDesigner,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
MarketingDesigner,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
MarketingDesigner,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
MarketingDesigner,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
MarketingManager,营销经理,"营销经理是由一方扮演的角色。营销经理负责营销管理流程。它是制定产品或服务、广告、促销、销售战略和规划以达到所需客户群的过程。
营销活动经理管理运营营销计划和营销活动的定义、规划、预算、执行和监控。他还负责验证营销活动的设计和实施。",启用,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
MarketingManager,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
MarketingManager,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
MarketingManager,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
MarketingManager,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
MarketingOperator,营销操作员,营销活动运营商负责执行营销活动。他使用媒体或通信模式执行并跟踪与各方的通信交互。,启用,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
MarketingOperator,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
MarketingOperator,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
MarketingOperator,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
MarketingOperator,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
Prospect,潜在客户,潜在客户是由一方扮演的一种当事人角色，指定该方是服务提供商产品的潜在买家。扮演 SalesLead 角色的一方稍后可能会扮演其他几个 PartyRole，例如潜在客户和最终的客户。扮演销售线索的一方可能是某些优惠的客户，也可能不是。企业通过广告、贸易展览、直邮、第三方和其他营销活动获得销售线索。,启用,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
Prospect,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
Prospect,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
Prospect,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
Prospect,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
SalesAgent,销售Agent,销售代理是由一方扮演的角色。销售代理负责向批发和/或零售客户销售服务提供商的产品规格。,启用,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
SalesAgent,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
SalesAgent,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
SalesAgent,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
SalesAgent,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
Market & Sales Domain.Market Segment ABE,市场&销售Domain.Market细分ABE,市场细分 ABE 包含通过地理区域、销售渠道等对各方进行分组的所有信息。 MarketSegments 是 MarketingCampaigns 和 ProductOfferingSpecifications 的目标。,启用,,,,,,
AtomicMarketSegment,Atomic市场细分,一种没有任何从属 MarketSegment 的 MarketSegment 类型，即 AtomicMarketSegment 是叶级 MarketSegment。,启用,category,类别,String,市场细分的分类，因为它们具有共同的特征。例如垂直或水平市场细分。垂直 MarketSegments 将 PartyRole 放在单个细分中，而 PartyRole 可以存在于多个水平 MarketSegments 中,,
AtomicMarketSegment,,,,subCategory,子类别,String,对市场细分的进一步分类，因为它们具有共同的特征。例如，垂直类别 MarketSegment 可以进一步分类为消费者、企业或运营商。,,
AtomicMarketSegment,,,,dateCreated,创建日期,String,创建 PartyProfile 的日期。,,
AtomicMarketSegment,,,,description,描述,String,解释 PartyProfile 是什么的叙述。,,
AtomicMarketSegment,,,,ID,标识,String,PartyProfile的唯一标识符。（«required»）,是,
AtomicMarketSegment,,,,name,名称,String,一个单词、术语或短语，通过它可以了解该特征并将其与特征区分开来。,,是
AtomicMarketSegment,,,,ID,标识,String,Segment的唯一标识符（«required»）,是,
AtomicMarketSegment,,,,respectsThreshold,阈值遵从,String,属性respectsThreshold指定Segment是否遵循SegmentSpecification定义的下限和上限大小。,,
AtomicMarketSegment,,,,validFor,有效期限,String,第 段的有效期间。,,
AtomicMarketSegment,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
AtomicMarketSegment,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
AtomicMarketSegment,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
AtomicMarketSegmentCharacteristic,Atomic市场细分特征,不具有任何从属 MarketSegmentCharacteristics 的 MarketSegmentCharacteristic 类型，即 AtomicMarketSegmentCharacteristic 是叶级 MarketSegmentCharacteristic。,启用,derivationFormula,推导公式,String,以符号、数字或字母表示的规则或原则，通常以方程的形式用于导出特征值的值。,,
AtomicMarketSegmentCharacteristic,,,,description,描述,String,解释特征是什么的叙述。,,
AtomicMarketSegmentCharacteristic,,,,extensible,术语extensible,String,一个指示符，指定在实例化实体的特征时可以通过添加新值来扩展特征的值。,,
AtomicMarketSegmentCharacteristic,,,,ID,标识,String,MarketSegmentCharacteristic 的唯一标识符。（«required»）,是,
AtomicMarketSegmentCharacteristic,,,,maxCardinality,最大基数,String,CharacteristicValue 可以呈现的最大实例数。例如，群组呼叫计划中的零到五个电话号码，其中 5 是 maxCardinality 的值。,,
